locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Łódź Śródmieście,ul. Solna,3.0,54.0,459000.0,8500.0,Bez pośredników,ponad tydzień temu,9.0,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-solna-3-pokojowe-c5s9x1,https://s2.adresowa.pl/oi/63/31/3b3116_3619_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-solna.jpg,Łódź Śródmieście,ul. Solna,1,1900.0,,8 500,"Mieszkanie dla wielbicieli klimatu starych kamienic. 5 min do ul. Piotrkowskiej, po drugiej stronie ulicy park Staromiejski i 10 min do Manufaktury. Obszar rewitalizacji, na następnym skrzyżowaniu powstają dwie inwestycje drogich apartamentów. Oryginalna drewniana podłoga, odsłonięta cegła na pojedynczych ścianach. Bardzo funkcjonalny rozkład - duży salon z kuchnią, częścią wypoczynkową i stołem jadalnym, większa sypialnia i mniejszy pokój: gabinet lub pokój dla dziecka. W łazience duża wanna. Mieszkanie jasne i ciche, okna tylko od strony podwórka z widokiem na ogromny kasztan, okna na południowy zachód. Pod oknami mini ogródek, kwiaty bzów i forsycje. Wspólnota mieszkaniowa i duże oszczędności z funduszu remontowego. Niedawno wykonywane były konserwacja dachu, iniekcje osuszające i wymiana pionów kanalizacyjnych. Planowana rewitalizacja podwórka i remont generalny klatki schodowej. Ogrzewanie i ciepła woda - nowoczesny piec gazowy dwufunkcyjny, rachunki ok 200-300 zł miesięcznie. Do mieszkania prowadzi z klatki schodowej oddzielny korytarz zamykany na klucz, gdzie są tylko dwa inne mieszkania ze spokojnymi lokatorami. Nigdy nie mieszkałam w miejscu z lepszymi i bardziej pomocnymi sąsiadami. Sprzedaję z bólem serca, z powodu przeprowadzki do innego miasta. Możliwość negocjacji kupna z zabytkowymi meblami.",tak,tak,aneks,plastikowe,własność,,51.777946,19.459999
Łódź Radogoszcz,ul. Aroniowa,3.0,76.0,799000.0,10512.0,Bez pośredników,wczorajnowe,25.0,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-aroniowa-3-pokojowe-t0a6h4,https://s2.adresowa.pl/oi/53/7e/3b9c12_e770_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-aroniowa.jpg,Łódź Radogoszcz,ul. Aroniowa,1,2018.0,,10 512,"Na sprzedaż komfortowe, nowoczesne mieszkanie o powierzchni 76,01 m², położone na 1. piętrze kameralnego, zamkniętego i monitorowanego osiedla Aroniowa (Łódź, Radogoszcz Wschód). Lokal wykończony w wysokim standardzie, wyposażony i gotowy do wprowadzenia bez dodatkowych nakładów. W 2025 r. wykonano prace odświeżające. Idealne dla osób ceniących komfort, funkcjonalność i bliskość natury. Najważniejsze atuty • 3 pokoje, układ rozkładowy wschód- zachód • 2 łazienki • duży balkon zachodni 6,46 m² z widokiem na zieleń • ciche położenie – trzeci rząd budynków, z dala od ruchu ulicznego • osiedle zamknięte, monitorowane, wjazd przez bramę na pilota Układ pomieszczeń: Na 76,01 m² znajdują się: • salon z aneksem kuchennym ( z możliwością wydzielenia kuchni ) • duża sypialnia z prywatną łazienką • druga sypialnia • przedpokój/przedsionek • główna łazienka z WC Układ funkcjonalny – idealny dla singla, pary lub rodziny. Standard wykończenia Mieszkanie wykończone materiałami najwyższej jakości i wyposażone w system Smart Home Assistance (Zigbee): • zdalne sterowanie ogrzewaniem • czujniki temperatury, wilgotności, ruchu, otwarcia okien i drzwi • inteligentne oświetlenie i sceny świetlne • automatyczne sterowanie wentylacją • integracja z Google Home / Alexa / Home Assistant Dodatkowe elementy: • podłogi: lita deska dębowa • drzwi sosnowe bejcowane na dąb • zmywalne farby o wysokiej trwałości • trzy pojemne szafy typu Komandor • łazienki wyłożone gresem (kabiny Hüppe, baterie termostatyczne, armatura Oras, stelaże MEPA) • kuchnia: zabudowa w białym połysku, blat dębowy, AGD w zabudowie • okna PCV, moskitiery, plisy zaciemniające Balkon Przestronny balkon z ekspozycją zachodnią, wykończony płytkami imitującymi drewno. Balustrady ze szkłem mlecznym, oświetlenie – idealny do wypoczynku. Stan prawny Odrębna własność z księgą wieczystą. Opłaty • czynsz: ok. 900 zł / 4 osoby Osiedle Aroniowa Kameralne, niskie osiedle z monitoringiem i bramą na pilota. Na terenie osiedla: • plac zabaw • zadbana zieleń • miejsca parkingowe dla gości • stojaki rowerowe Lokalizacja – Radogoszcz Wschód Spokojna, zielona część Łodzi, z wygodnym dojazdem do centrum Łodzi. Komunikacja: • tramwaj – 8 min (550 m) • autobus – 9 min • ŁKA Radogoszcz Wschód – 16 min (1,2 km) • samochodem: 15 min do Manufaktury, 5 min do Zgierza, 15 min do A2 W okolicy: • szkoła (3 min), przedszkole (5 min) • przychodnia, apteka, poczta • sklepy: Lidl, Netto, Biedronka, Rossmann, Castorama • obiekty sportowe: Stacja Nowa Gdynia, Fit Fabric, Puls • baseny: Nowa Gdynia, Blisko liczne tereny zielone: Las Chełmski, Las Łagiewnicki, Arturówek, Park Julianowski. MOŻLIWOŚCI DODATKOWE: - naziemne numerowane miejsce parkingowe - 30 000 zł - murowane pomieszczenie gospodarcze 2,57 m² - 10 000 zł Oferta prywatna – bez pośredników Zapraszam do kontaktu oraz na prezentację.",tak,tak,aneks,plastikowe,własność,"Wyposażenie: internet, kuchenka, mikrofalówka, piekarnik, zmywarka",51.828571,19.432974
Łódź Polesie,Retkińska,2.0,43.0,330500.0,7686.0,Bez pośredników,wczorajnowe,6.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-retkinska-2-pokojowe-e5y2c1,https://s2.adresowa.pl/oi/58/68/3b9bac_4613_cover-2-pokojowe-mieszkanie-lodz-polesie-retkinska.jpg,Łódź Polesie,Retkińska,1,1978.0,blok,7 686,"Mieszkanie znajduje się w doskonałej lokalizacji na 1 piętrze . Blok 4 -ro piętrowy .Obok przystanki tramwajowe i autobusowe. Liczne sklepy , Mc Donald i Galeria Retkińska . W pobliżu Ogród Botaniczny, ZOO i park na Zdrowiu . Duży balkon z widokiem na skwer zieleni . Zainteresowanych proszę o kontakt telefoniczny .",tak,,osobna,plastikowe,spółdzielcze własnościowe,,51.750662,19.408401
Łódź Górna,ul. Tadeusza Czackiego,3.0,70.0,589000.0,8414.0,Bez pośredników,wczorajnowe,7.0,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-tadeusza-czackiego-3-pokojowe-y9x1o7,https://s2.adresowa.pl/oi/64/30/3b9b60_b80e_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-tadeusza-czackiego.jpg,Łódź Górna,ul. Tadeusza Czackiego,parter,1980.0,blok,8 414,"Mam do zaoferowania przestronne, 3-pokojowe mieszkanie przy ul. Czackiego 2/10. * W zeszłym roku odświeżono ściany (trwała farba ceramiczna), położono nowe panele oraz zamontowano nowe drzwi. Kuchnia i łazienka przeszły remont w 2016 r. * Standard techniczny: Instalacja elektryczna wymieniona na miedzianą. W każdym pokoju rozprowadzono kable internetowe i antenowe oraz przygotowano okablowanie pod system alarmowy. * Mieszkanie jest środkowe, bardzo ciepłe i suche. Ogromnym atutem jest brak podzielników ciepła – grzejesz tyle, ile potrzebujesz, bez obaw o wysokie dopłaty. * Budynek posiada windę z poziomu chodnika oraz oddzielne wejście do niej od podwórka. Dzięki temu unikasz ruchu sąsiadów pod drzwiami, a mieszkanie jest w pełni dostępne dla osób z wózkami czy seniorów. Układ pomieszczeń: * 3 ustawne pokoje, * Oddzielna kuchnia, * Łazienka oraz osobne WC, * Loggia * Korytarz z ogromną szafą w zabudowie, która pomieści wszystko. * Do mieszkania przynależy spora komórka lokatorska. Lokalizacja: Mieszkanie znajduje się w drugiej linii zabudowy od ul. Pabianickiej. Dzięki temu w mieszkaniu kest cicho a jednocześnie w kilka minut dojdziesz do przystankow komunikacji miejskiej. W pobliżu znajduje się Rondo Lotników Lwowskich, park i Biedronka. opłaty: * Czynsz: ok. 990 zł. * Oferta bezpośrednio od właściciela – oszczędzasz na prowizji! Zapraszam do kontaktu i obejrzenia mieszkania na żywo!",tak,tak,osobna,plastikowe,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka, zmywarka",51.735676,19.457036
Łódź Widzew,ul. Listopadowa,2.0,40.0,440000.0,11000.0,Bez pośredników,3 dni temu,14.0,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-listopadowa-2-pokojowe-d0d8r3,https://s2.adresowa.pl/oi/37/1a/3b98d2_4a55_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-listopadowa.jpg,Łódź Widzew,ul. Listopadowa,parter,2014.0,blok,11 000,"Sprzedam przytulne, dwupokojowe mieszkanie na zamkniętym osiedlu ""Listopadowa"" położone w spokojnej i zielonej części Łodzi. Lokal składa się z salonu z aneksem kuchennym, sypialni, łazienki z WC oraz przedpokoju. Do mieszkania przynależy duża komórka lokatorska oraz prywatne miejsce parkingowe. Układ i pomieszczenia: · salon z aneksem kuchennym o pow. 20m2 z ekspozycją na południe · sypialnia o pow. 12m2 z ekspozycją na zachód · łazienka z WC o pow. 3m2 · przedpokój i komunikacja o łącznej pow. 5m2 · duży, przestronny taras o powierzchni 21.5m2 · komórka lokatorska o powierzchni 14m2 (+ 10 000 PLN) Wyposażenie i udogodnienia: · wyposażenie aneksu kuchennego, łazienki oraz przedpokoju w cenie · prywatne miejsce parkingowe przed blokiem na terenie osiedla (+ 15 000 PLN) · bezpieczne, zamknięte oraz monitorowane osiedle · plac zabaw dla dzieci na terenie osiedla · zamontowane moskitiery Lokalizacja: · spokojna, zielona okolica blisko Parku Zaruskiego · 4 minuty do przystanku autobusowego linii 54/58 oraz 15 minut do tramwaju linii 12/15 · w najbliższej okolicy piekarnia, sklepy, żabki oraz paczkomaty · w okolicy szkoła podstawowa, przedszkole, żłobek, a także szkółka piłkarska i stadion Dodatkowe informacje: · budynek wykonany z pustaka ceramicznego, oddany do użytkowania w 2014 roku · średni czynsz dla dwóch osób to ok. 550 zł · ogrzewanie gazowe · sprzedaż bez pośredników (brak prowizji) Cena do negocjacji.",tak,tak,aneks,plastikowe,własność,,51.786444,19.540803
Łódź Polesie,al. Unii Lubelskiej,2.0,52.0,420000.0,8077.0,Bez pośredników,3 dni temu,8.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-unii-lubelskiej-2-pokojowe-f7b1c8,https://s2.adresowa.pl/oi/7c/26/3b97c2_c3ec_cover-2-pokojowe-mieszkanie-lodz-polesie-al-unii-lubelskiej.jpg,Łódź Polesie,al. Unii Lubelskiej,2,,blok,8 077,"Mieszkanie 52m2. Al. Unii Lubelskiej. 2 pokoje z aneksem kuchennym. Balkon. 2 piętro. Do mieszkania należy również komórka/piwnica. Mieszkanie do odświeżenia. W pobliżu przedszkole, szkoła. Pod blokiem przystanek autobusowy. Osiedle zielone i spokojne. W pobliżu osiedla znajduje się również park na zdrowiu, zoo, aquapark Fala.",tak,,aneks,,,,51.767124,19.421505
Łódź Bałuty,ul. Traktorowa,2.0,45.0,422000.0,9378.0,Bez pośredników,3 dni temu,19.0,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-traktorowa-2-pokojowe-j9b9z5,https://s2.adresowa.pl/oi/2c/41/3b97aa_ecb3_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-traktorowa.jpg,Łódź Bałuty,ul. Traktorowa,1,,blok,9 378,"Świeżo wyremontowane, 2-pokojowe, rozkładowe mieszkanie na 1. piętrze. Dostępne od zaraz. Ciepłe, świeże, z wielką i funkcjonalną szafą w przedpokoju. W całym mieszkaniu nowa elektryka, nowe piony w łazience i wszystkie przyłącza hydrauliczne. Wielkim atutem jest wanna w łazience, a nie jak w większości przypadków kabina prysznicowa. W kuchni zagospodarowano miejsce przy zlewie na pralkę pod blatem. W całym mieszkaniu nowe gładzie, oświetlenie, podłogi, nowe płytki w kuchni i łazience. W kuchni nowe i bardzo funkcjonalne meble. Górne szafki w kuchni bardzo pojemne, o wysokości 100 cm. Mieszkanie sprzedawane z całym wyposażeniem. Do mieszkania przynależy komórka lokatorska. Wejście do klatki schodowej zabezpieczone domofonem. Atrakcyjna lokalizacja - bardzo blisko szkoły, przedszkola, żłobki, sklepy, punkty usługowo-handlowe, przystanki komunikacji miejskiej. Sprzedaż bezpośrednia. Pośrednikom nieruchomości dziękuję. Cena do lekkiej negocjacji.",tak,,osobna,plastikowe,,Wyposażenie: pralka,51.801609,19.394994
Łódź,ul. Tatrzańska,2.0,39.0,384000.0,9846.0,Oferta biura nieruchomości,5 dni temu,9.0,https://adresowo.pl/o/mieszkanie-lodz-ul-tatrzanska-2-pokojowe-d3a6r7,https://s2.adresowa.pl/oi/2d/57/3b89d8_bd3e_cover-2-pokojowe-mieszkanie-lodz-ul-tatrzanska.jpg,Łódź,ul. Tatrzańska 65,1 / winda,1975.0,blok,9 846,"Serdecznie zapraszamy do zapoznania się z ofertą sprzedaży mieszkania Na sprzedaż w pełni rozkładowe, 2-pokojowe mieszkanie, w którym do każdego pomieszczenia prowadzi wejście z przedpokoju. Funkcjonalny układ sprawia, że lokal idealnie nadaje się zarówno do zamieszkania, jak i jako inwestycja pod wynajem. Mieszkanie jest po kapitalnym remoncie, wykończone pod klucz, gotowe do pierwszego zamieszkania – wszystko nowe, pachnące i wykonane z wysokiej jakości materiałów. Zakres przeprowadzonego remontu: wymiana instalacji elektrycznej oraz wodno-kanalizacyjnejnowe okna PCVnowe drzwi wejściowe i wewnętrznenowe tynki, gładzie i świeże malowanienowe podłogi – wylewki oraz wysokiej klasy, wodoodporne panelenowe oświetlenie, gniazdka, włączniki i karniszerozprowadzona instalacja TV i internetowa w obu pokojach Kuchnia i łazienka: jasna, nowoczesna kuchnia w zabudowie (biały połysk) zlew granitowy, gres porcelanowy w połysku sprzęt AGD w zabudowie w cenie: zmywarka, piekarnik, płyta indukcyjna lub gazowa, okap (wszystko nowe, na gwarancji) łazienka z kabiną prysznicową typu walk-in z deszczownicą umywalka nablatowa, duże lustro, gres porcelanowy w połysku Mieszkanie jest bardzo jasne i słoneczne, z ekspozycją południe - północ oraz widokiem na zieleń. Dodatkowym atutem jest duży balkon typu loggia, na całą szerokość salonu. Lokalizacja: Świetnie rozwinięta infrastruktura – w bezpośrednim sąsiedztwie znajdują się sklepy, punkty usługowe, szkoła, przedszkole, plac zabaw oraz Park Podolski. W pobliżu przystanki komunikacji miejskiej i markety spożywcze. Doskonałe połączenie z centrum miasta oraz szybki dojazd na uczelnie. Informacje dodatkowe: blok po termomodernizacji, bardzo zadbany nowe wejścia, monitoring, zagospodarowana zieleń wokół budynku mieszkanie spółdzielcze-własnościowe z możliwością założenia księgi wieczystej brak jakichkolwiek obciążeń wszystkie media miejskie czynsz ok. 400 zł Zapraszam do kontaktu i na prezentację Weronika Górecka",tak,,,plastikowe,spółdzielcze własnościowe,"Wyposażenie: internet, piekarnik, tv, zmywarka",51.733772,19.493948
Łódź Chojny,ul. Sąsiedzka,2.0,47.0,489000.0,10404.0,Oferta biura nieruchomości,5 dni temu,10.0,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-sasiedzka-2-pokojowe-a0x8k9,https://s2.adresowa.pl/oi/27/54/3b84d0_5dfa_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-sasiedzka.jpg,Łódź Chojny,ul. Sąsiedzka,1 / winda,2022.0,blok,10 404,"Szukasz miejsca, które łączy nowoczesny design, bezpieczeństwo i przestrzeń do relaksu na świeżym powietrzu? Zapraszam do zapoznania się z ofertą wyjątkowego mieszkania na prestiżowym, strzeżonym osiedlu Chojny Park w południowej części Łodzi. To propozycja dla wymagających klientów, którzy chcą wprowadzić się do gotowego, w pełni wyposażonego wnętrza. Największe atuty nieruchomości:Ogromny taras (20 m²): Z południową ekspozycją, co gwarantuje słońce przez cały dzień. Idealny na grilla, huśtawkę czy letni ogród. Nowoczesny budynek (2022 r.): Mieszkanie od pierwszego właściciela, wykończone ""pod klucz"" z dbałością o każdy detal. Funkcjonalność ponad wszystko: Dodatkowe pomieszczenie gospodarcze/garderoba przy wejściu pozwala utrzymać idealny porządek. Miejsce parkingowe: Zewnętrzne miejsce postojowe w cenie 25 000zł tuż przy klatce schodowej – zapomnij o szukaniu parkingu.Wnętrze zaprojektowane z myślą o komforcie, składa się z: Salon z aneksem kuchennym: Jasna i przytulna przestrzeń z wyjściem na taras. Aneks kuchenny w ponadczasowej bieli z drewnianymi blatami jest w pełni wyposażony w sprzęt AGD (lodówka, piekarnik, płyta, okap). Duża sypialnia: To nie tylko miejsce do spania, ale i komfortowa przestrzeń do pracy. Pomieści duże łóżko małżeńskie oraz pojemne szafy. Z sypialni również prowadzi bezpośrednie wyjście na taras. Łazienka: Wyposażona w wannę z parawanem prysznicowym, pralkę oraz nowoczesną zabudowę w modnej kolorystyce drewna i betonu z czarnymi akcentami. Przedpokój i garderoba: Dzięki ukrytemu pomieszczeniu gospodarczemu wierzchnia odzież i sprzęty domowe nie zajmują przestrzeni wizualnej. Chojny Park to jedno z najbardziej rozchwytywanych osiedli na południu Łodzi. Bezpieczeństwo: Osiedle jest ogrodzone, strzeżone i monitorowane. Udogodnienia: Na terenie znajdują się nowoczesne i bezpieczne place zabaw dla dzieci, oraz przestrzeń spacerowa. Okolica: Bliskość terenów rekreacyjnych, osiedle jest położone między dwoma parkami (Stawy Jana oraz Park na Młynku), liczne sklepy, punkty usługowe oraz doskonała komunikacja z centrum miasta. To mieszkanie nie wymaga żadnych nakładów finansowych – jest gotowe, by stać się Twoim nowym domem. Przekazanie nieruchomości możliwe od maja 2026r. Zapraszam na prezentację: Patrycja Olszak",,tak,,plastikowe,własność,"Wyposażenie: lodówka, piekarnik, pralkę",51.721561,19.500586
Łódź Polesie,ul. Wioślarska,2.0,44.0,409000.0,9295.0,Bez pośredników,3 dni temu,30.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wioslarska-2-pokojowe-d2v5e7,https://s2.adresowa.pl/oi/3e/40/3b97a6_b62a_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wioslarska.jpg,Łódź Polesie,ul. Wioślarska,7 / winda,,blok,9 295,"Mieszkanie po generalnym remoncie do wprowadzenia od zaraz. Nowa instalacja elektryczna. Nowe piony wody i kanalizacji w całym budynku. Spółdzielnia przewiduje w najbliższych miesiącach remont klatek. Winda jest nowa. Gładzie na ścianach. Glazura, terakota, panele winylowe w łazience i kuchni. Kuchnia kompletnie wyposażona w nowe szafki i sprzęt AGD - gwarancja. Duży balkon i pomieszczenie gospodarcze w piwnicy bloku. Mieszkanie na osiedlu Karolew, czyli cicho i spokojnie, dużo zieleni i blisko do centrum. Doskonała komunikacja tramwajem i autobusem. Lokatorzy mają duży, bezpłatny parking po jednej stronie bloku lub możliwość parkingu płatnego, zamykanego po drugiej stronie. Sprzedaje bezpośrednio właściciel, więc kupujący nie płaci prowizji dla biura pośrednictwa. Własność odrębna, wydzielona. Księga wieczysta założona. Masz pytania? Zadzwoń!",tak,,,,,,51.747815,19.42463
