locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Warszawa Bemowo,ul. Dynarska,3,69,859000,12487,Bez pośredników,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-dynarska-3-pokojowe-i0n5t9,https://s2.adresowa.pl/oi/4f/11/37dddc_841c_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-dynarska.jpg,Warszawa Bemowo,ul. Dynarska 4,2,1984,blok,12 487,"Na sprzedaż: 3-pokojowe mieszkanie 68,79 m² – Warszawa, Bemowo, ul. Dynarska 4 Przestronne i funkcjonalne mieszkanie na 2 piętrze w budynku 3 piętrowym o powierzchni 68,79 m², położone w spokojnej, zielonej okolicy na warszawskim Bemowie. Lokal znajduje się na ul. Dynarskiej 4, w zadbanym budynku z lat 80tych. Budynek jest ocieplony po termomodernizacji, z założoną instalacją fotowoltaiczną. Dookoła dużo zieleni, plac zabaw i miejsca parkingowe dostępne dla mieszkańców. Stan prawny: pełna własność księga wieczysta. Układ mieszkania: • Przestronny salon z wyjściem na balkon – idealne miejsce do relaksu • Dwa oddzielne pokoje – mogące pełnić funkcję sypialni, gabinetu lub pokoju dziecięcego • Duży przedpokój • Widna, oddzielna kuchnia • Łazienka z wanną oraz osobne WC z prysznicem. • Ustawny balkon z widokiem na zieleń. • Do mieszkania przynależy duża piwnica. Mieszkanie jest bardzo dobrze doświetlone, z funkcjonalnym rozkładem i dużym potencjałem aranżacyjnym. Lokalizacja: Bemowo to dzielnica przyjazna rodzinom, z rozbudowaną infrastrukturą i wieloma terenami zielonymi. W bliskiej okolicy znajdują się sklepy (m.in. Biedronka, Lidl, Carrefour), apteki, szkoły, przedszkola, przychodnie oraz liczne punkty usługowe. Spacerem dojdziesz do Fortu Bema – idealnego miejsca na aktywny wypoczynek. Komunikacja: • 3 minuty pieszo do przystanków autobusowych i tramwajowych (linie [numer], [numer], tramwaje 20, 23, 24) • Szybki dojazd do centrum – ok. 25 minut komunikacją miejską • W niedalekiej odległości stacja metra linii M2 – Bemowo-Ratusz (2,4 km.) • Dobry dostęp do trasy S8 oraz ul. Powstańców Śląskich Czynsz administracyjny: około 1000 zł (w tym zaliczki na wodę, ogrzewanie i fundusz remontowy) Sprzedaż bezpośrednia – bez prowizji. Zapraszam do kontaktu i umówienia się na prezentację! Proszę dzwonić w godz.: 10.00-20.00. Krzysztof.",tak,,osobna,plastikowe,własność,,52.257999,20.917
Warszawa Mokotów,Nowosielecka,4,61,1020000,16821,Bez pośredników,wczorajnowe,21,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-nowosielecka-4-pokojowe-j5p5u9,https://s2.adresowa.pl/oi/46/50/3b083c_f9e6_cover-4-pokojowe-mieszkanie-warszawa-mokotow-nowosielecka.jpg,Warszawa Mokotów,Nowosielecka,parter,1950,,16 821,"sprzedaż bezpośrednia. Zasadniczo sprzedaż bez udziału pośredników. Dopuszczam współpracę z biurem nieruchomości wyłącznie w przypadku, gdy pośrednik reprezentuje kupującego, a prowizja w całości pokrywana jest przez kupującego i zawarta w uzgodnionej cenie sprzedaży. Sprzedam mieszkanie o powierzchni użytkowej 60,64 m², usytuowane na parterze w 4-piętrowym budynku zbudowanym pod koniec lat 40. XX wieku, przy ul. Nowosieleckiej 18 w Warszawie. Lokal wg aktu notarialnego jest 3-pokojowy, natomiast został funkcjonalnie zaaranżowany na 4 niezależne pokoje, co znacząco zwiększa jego potencjał inwestycyjny. Zmiany wykonano bez ingerencji w ściany nośne, z możliwością łatwego powrotu do pierwotnego układu. Niewątpliwym atutem mieszkania jest doskonała lokalizacja – w bezpośrednim sąsiedztwie Łazienek Królewskich oraz blisko arterii komunikacyjnej ul. Czerniakowskiej, zapewniającej szybki dojazd do centrum miasta i innych dzielnic Warszawy. Budynek zadbany, z pełną infrastrukturą miejską w pobliżu: komunikacja miejska, sklepy, punkty usługowe oraz tereny zielone. Mieszkanie idealne zarówno dla inwestora pod wynajem, jak i do własnej aranżacji po przywróceniu układu 3-pokojowego.",tak,,aneks,plastikowe,własność,Wyposażenie: internet,52.21081,21.045718
Warszawa Białołęka,ul. Vincenza Belliniego,2,44,612000,14008,Bez pośredników,wczorajnowe,10,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-vincenza-belliniego-2-pokojowe-z1d0j3,https://s2.adresowa.pl/oi/1b/7f/3b0834_4686_cover-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-vincenza-belliniego.jpg,Warszawa Białołęka,ul. Vincenza Belliniego,2 / winda,2017,blok,14 008,"Pragnę przedstawić wyjątkową ofertę dwupokojowego mieszkania usytuowanego na 2 piętrze w trzykondygnacyjnym budynku z windą zlokalizowanym przy ulicy Vincenza Belliniego 14 w Warszawie Dzielnica Białołęka. Nowoczesny, piękny budynek został wybudowany w 2017 roku przez firmę J.W. Construction Holding S.A. Blok usytuowany na zamkniętym, kameralnym osiedlu – Zielone Dolina II. Powierzchnia użytkowa lokalu wynosi 43,69 m2. Na podany metraż składa się: - pokój dzienny + aneks kuchenny o powierzchni 22,53 m2 - hol o powierzchni 5,31 m2 - łazienka z WC o powierzchni 4,27 m2 - pokój o powierzchni 11,58 m2 Do mieszkania przynależy duży balkon o powierzchni 6,30 m2 oraz miejsce parkingowe z boksem garażowym zależnym o powierzchni 3,06 m2 (zakup obligatoryjny za kwotę 40000 zł + 15000 zł = 55 000 zł ). Lokal mieszkalny środkowy, jednostronny. Wyposażony we wszystkie instalacje: - instalacja kanalizacyjna - instalacja ciepłej i zimnej wody - instalacja centralnego ogrzewania - instalacja elektryczna i RTV - instalacja domofonowa - instalacja gazowa - bez licznika Rozkład mimo niewielkiego metrażu bardzo funkcjonalny – dobrze rozplanowana, praktyczna i wygodna przestrzeń. Mieszkanie gotowe do wprowadzenia, nie wymaga żadnych dodatkowych nakładów finansowych. Wykończone materiałami wysokiej jakości – gustownie, nowocześnie. Częściowo umeblowane oraz wyposażone w sprzęty: lodówkę, płytę indukcyjną, piekarnik, okap kuchenny, pralkę, telewizor. Nieruchomością zarządza wspólnota mieszkaniowa, podstawowy czynsz wynosi obecnie 670 zł. Ogromnym atutem oferty jest cicha i spokojna okolica. Stan prawny: pełna własność z KW. Zapraszamy serdecznie do kontaktu i obejrzenia mieszkania. Kontakt: 6x9x8x9x8x5x7x0x0. Sprzedaż tylko bezpośrednio. Agencjom i pośrednikom dziękuję. Proszę nie dzwonić.",tak,tak,aneks,plastikowe,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka, telewizor",52.345378,21.050475
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/warszawa/bemowo-g/,,,,parter,1981,blok,,,,,,,,,,
Warszawa Włochy,ul. Trzcinowa,2,49,zapytaj o cenę,,Bez pośredników,,11,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg,Warszawa Włochy,ul. Trzcinowa,parter,,,,"Nowe mieszkanie 2-pokojowe o powierzchni 49,15 m² w inwestycji Trzcinowa Vita dewelopera DEVELIA, na parterze w budynku 18 pod adresem ul. Trzcinowa 18, Warszawa Włochy. Planowany termin oddania to II kwartał 2027 roku. Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej, zielonej części dzielnicy Włochy. Projekt inspirowany ideą miasta-ogrodu Ebenezera Howarda harmonijnie łączy komfort życia wśród przyrody z wygodnym dostępem do infrastruktury miejskiej oraz doskonałą komunikacją z centrum Warszawy. W ramach I etapu powstaną dwa budynki, w których zaprojektowano 117 funkcjonalnych mieszkań o powierzchni od 26 do 113 m². Przeważają ustawne, 3-pokojowe lokale, idealne dla rodzin,... więcej > Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej, zielonej części dzielnicy Włochy. Projekt inspirowany ideą miasta-ogrodu Ebenezera Howarda harmonijnie łączy komfort życia wśród przyrody z wygodnym dostępem do infrastruktury miejskiej oraz doskonałą komunikacją z centrum Warszawy. W ramach I etapu powstaną dwa budynki, w których zaprojektowano 117 funkcjonalnych mieszkań o powierzchni od 26 do 113 m². Przeważają ustawne, 3-pokojowe lokale, idealne dla rodzin, par i singli. Do każdego mieszkania przynależy balkon lub prywatny ogródek – w zależności od kondygnacji. II etap inwestycji obejmuje 46 komfortowych mieszkań, zaprojektowanych z myślą o różnych potrzebach przyszłych mieszkańców. W ofercie znajdują się: - mieszkania 2-pokojowe o powierzchni od 34 do 43 m², - funkcjonalne lokale 3-pokojowe od 50 do 67 m², - przestronne mieszkania 4-pokojowe o metrażach od 68 do 77 m². Podobnie jak w pierwszym etapie, każde mieszkanie posiada balkon lub ogródek, zapewniając dodatkową przestrzeń do wypoczynku. Na terenie osiedla zaplanowano parking podziemny, naziemne miejsca postojowe, komórki lokatorskie oraz boksy do przechowywania. Dla miłośników aktywnego trybu życia przewidziano również stojaki rowerowe. Lokalizacja sprzyjająca codziennemu komfortowi Inwestycja znajduje się w bezpośrednim sąsiedztwie terenów zielonych, takich jak Park Ogrody Kosmosu, Park Koziorożca czy Park Kombatantów. W niewielkiej odległości położony jest także malowniczy staw Glinianki Sznajdra – idealny na spacery i rekreację. W promieniu kilkuset metrów dostępne są liczne punkty usługowe, sklepy (m.in. Biedronka, Lidl), a także placówki edukacyjne – żłobek, przedszkole oraz szkoła muzyczna. Zaledwie 1 km od osiedla znajduje się stacja PKP Warszawa Włochy, z której dojazd do centrum Warszawy zajmuje około 15–20 minut. Bliskość przystanków autobusowych dodatkowo zwiększa komfort komunikacyjny. Atuty inwestycji: - spokojna okolica w otoczeniu zabudowy mieszkaniowej - sąsiedztwo terenów rekreacyjnych i zieleni - bliskość placówek edukacyjnych, sklepów i punktów usługowych - szeroki wybór mieszkań z balkonami lub ogródkami Niniejszy materiał ma charakter informacyjny i nie stanowi oferty w rozumieniu Kodeksu cywilnego. Oficjalna strona internetowa inwestycji: https://develia.pl/pl/mieszkania/warszawa/trzcinowa-vita/",,,,,,Wyposażenie: internet,52.212363,20.919162
Warszawa Sadyba,ul. Jaszowiecka,2,32,819000,25594,Oferta biura nieruchomości,2 dni temu,16,https://adresowo.pl/o/mieszkanie-warszawa-sadyba-ul-jaszowiecka-2-pokojowe-a4y6l0,https://s2.adresowa.pl/oi/59/6a/3b075a_fdbb_cover-2-pokojowe-mieszkanie-warszawa-sadyba-ul-jaszowiecka.jpg,Warszawa Sadyba,ul. Jaszowiecka,4 / winda,1974,blok,25 594,"Zapraszamy do zapoznania się z ofertą unikatowego mieszkania o powierzchni 32 m², położonego w zielonej enklawie Mokotowa - Sadyba, ul. Jaszowiecka. To propozycja dla osób poszukujących ciszy, prywatności i komfortu klasy premium, przy jednoczesnej bliskości centrum miasta. Najważniejsze atuty: • Widok na zieleń, bez zabudowy „naprzeciwko”. • Duży balkon wychodzący na spokojną, zieloną przestrzeń. • Generalny remont - mieszkanie gotowe do zamieszkania. • Klimatyzacja z funkcją grzania. • Bardzo niskie koszty utrzymania dzięki dobremu ociepleniu budynku. • Zamknięte, kameralne osiedle z wysokim poziomem prywatności. • Dwie windy w budynku, w tym duża winda towarowa. • Możliwość parkowania na terenie osiedla oraz wynajmu miejsca w garażu podziemnym w sąsiednim budynku. Mieszkanie składa się z: - Salonu z aneksem kuchennym, - Oddzielnej sypialni z dużym łóżkiem (160 × 210 cm) i oknem, - Łazienki, - Funkcjonalnego przedpokoju, Budynek: Mieszkanie znajduje się na zamkniętym, kameralnym osiedlu. Budynek posiada dwie klatki schodowe z domofonami (wejście główne oraz wejście z wewnętrznego piętra) oraz dwie windy. Dzięki bardzo dobremu ociepleniu budynku koszty ogrzewania są niskie. Lokalizacja: Nieruchomość położona jest w zielonej, zadbanej części Mokotowa, w bezpośrednim sąsiedztwie Parku im. Stanisława Dygata. W okolicy dostępna jest pełna infrastruktura: sklepy, punkty usługowe, stacja benzynowa oraz Galeria Sadyba. Nowe torowisko tramwajowe w pobliżu zapewnia szybki i wygodny dojazd do centrum Warszawy (około 20 minut). Dodatkowe informacje: Mieszkanie po generalnym remoncie obejmującym wymianę instalacji elektrycznej, nowe wodomierze, nowoczesne oświetlenie LED w całym lokalu, podwieszane sufity oraz spójną, elegancką aranżację. Lokal idealny dla singla, pary, osób pracujących zdalnie oraz jako bezpieczna inwestycja w jednej z najbardziej stabilnych lokalizacji Warszawy. Zapraszamy do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia się na prezentację. TEKTON PROPERTY TO NAJLEPSZE BIURO NIERUCHOMOŚCI W POLSCE WG KONKURSU LIDER NIERUCHOMOŚCI OTODOM 2020. Znajdź nas w swoim mieście: Gdańsk, ul. Chmielna 10 - Warszawa, Plac Dąbrowskiego 1/311 - Wrocław, ul. Kasztanowa 3A/118 - Kraków, ul. Józefitów 7/4 - Poznań, ul. Wojskowa 6/D6 - Łódź, ul. Zachodnia 70 pok. 223. Podejmując współpracę z przedstawicielami Tekton Property zyskujesz: - oszczędność czasu - weryfikację dokumentów od strony formalno-prawnej - wsparcie agenta na każdym etapie transakcji - pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach - wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy - własne analizy makroekonomiczne i raporty z prowadzonych działań - dostęp do cen transakcyjnych z okolicy Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji. Zapraszamy do współpracy! Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.",,tak,,,własność,Wyposażenie: klimatyzacja,52.188345,21.053742
Warszawa Targówek,ul. Malborska,3,47,765000,16277,Oferta biura nieruchomości,3 dni temu,2,https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-malborska-3-pokojowe-z8m9n6,https://s2.adresowa.pl/oi/73/7f/3b05c6_73db_cover-3-pokojowe-mieszkanie-warszawa-targowek-ul-malborska.jpg,Warszawa Targówek,ul. Malborska,9 / winda,1979,blok,16 277,"3-pokojowe mieszkanie zlokalizowane na Targówku przy ul. Malborskiej BUDYNEK/OSIEDLE Mieszkanie znajduje się na 9 piętrze w 11 piętrowym budynku. Rok budowy: 1979 NIERUCHOMOŚĆ Mieszkanie o powierzchni 47m2 składa się z: -salonu 21m2 z zabudowanym i wyposażonym aneksem kuchennym, -sypialni 11m2, -gabinetu 6,5m2, -łazienki razem z WC 3,5m2, -przedpokoju 5,8m2. Powierzchnia dodatkowa: -balkon. Czynsz administracyjny wynosi 600 zł. Mieszkanie własnościowe. Do mieszkania przynależy: -piwnica 2,3 m2. Parking-do dyspozycji mieszkańców dostępny jest ogólnodostępny parking. Istnieje możliwość wynajęcia miejsca postojowego na pobliskim parkingu, co stanowi wygodne rozwiązanie dla osób zmotoryzowanych. Ekspozycja okien- południowy-wschód. OKOLICA Okolica wyróżnia się doskonale rozwiniętą infrastrukturą miejską, zapewniającą wygodę na co dzień. W bliskim otoczeniu znajdują się stacje metra, placówki medyczne, rozległe tereny zielone, a także szkoły i przedszkola. Nie brakuje również sklepów oraz instytucji publicznych, co sprawia, że wszystkie najważniejsze potrzeby można zrealizować w najbliższej okolicy. Zapraszam na prezentację nieruchomości. W razie zainteresowania prosimy o kontakt: , Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego. Bezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową. Na życzenie w ramach prezentacji nieruchomości możliwość przeprowadzenia przez firmę budowlaną oceny stanu mieszkania i wycenę remontu.",tak,,,plastikowe,własność,,52.293674,21.049239
Warszawa Wola,ul. Smocza,2,48,920000,19247,Bez pośredników,2 dni temu,11,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-smocza-2-pokojowe-d6a5e3,https://s2.adresowa.pl/oi/3a/21/3b0788_6953_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-smocza.jpg,Warszawa Wola,ul. Smocza,parter,1953,blok,19 247,"mieszkanie własnościowe do częściowego remontu na Muranowie w granicy Wola -śródmieście wymienione instalacje wod-kan ciepła woda miejska ,inst elektryczna ,oraz CO, na podłogach parkiet dębowy budynek ocieplony z nową elewacją ,Winda po remoncie kapitalnym , w podwórku dostępne miejsca parkingowe W pobliżu przychodnia ,przedszkole , żłobek .",tak,,osobna,plastikowe,własność,,52.242916,20.986873
Warszawa Bemowo,ul. Widawska,3,63,740000,11690,Bez pośredników,2 dni temu,8,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-widawska-3-pokojowe-v4p1c2,https://s2.adresowa.pl/oi/3c/31/3b0730_6876_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-widawska.jpg,Warszawa Bemowo,ul. Widawska,5 / winda,1986,blok,11 690,"Zamieszkaj w komfortowym mieszkaniu o powierzchni 63,3 m² na Bemowie. Mieszkanie ma separatną kuchnię, łazienkę i duży balkon. Znajduje się na 5. piętrze w bloku z 1986 roku. Wnętrza są jasne, z dużymi oknami. Mieszkanie jest gotowe do zamieszkania od marca 2026 roku. Lokalizacja zapewnia dostęp do licznych udogodnień. W pobliżu znajdują się przedszkola, szkoły podstawowe i średnie oraz uniwersytety. Dla relaksu dostępny jest park im. Księcia Janusza. W okolicy działają liczne sklepy, supermarkety i centra handlowe, takie jak Galeria Bemowo czy Wola Park. Komunikacja miejska jest dobrze rozwinięta — blisko stacje metra i przystanki autobusowe. Zainteresowany? Skontaktuj się i umów się na prezentację tej atrakcyjnej nieruchomości już dziś! Sprzedaż bezpośrednia, cena mieszkania do negocjacji. Pośrednikom dziękujemy.",tak,tak,osobna,,,,52.255032,20.928705
Warszawa Bemowo,ul. Podgrodzie,2,48,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-t2i4v5,https://s2.adresowa.pl/development/671978/nowe-mieszkania-viva-cite-34b9_cover.jpg,Warszawa Bemowo,ul. Podgrodzie,3 / winda,,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 47,78 m² w inwestycji Viva Cite dewelopera DEVELIA, na 3 piętrze pod adresem ul. Podgrodzie, Warszawa Bemowo. Planowany termin oddania to III kwartał 2027 roku. LOKALIZACJA Viva Cité powstaje przy ul. Podgrodzie, w pobliżu ul. Sochaczewskiej, w dynamicznie rozwijającej się części Bemowa. Bemowo to dzielnica z rozbudowaną infrastrukturą miejską. Sklepy, restauracje, punkty usługowe oraz placówki edukacyjne są tu łatwo dostępne, a lokalna oferta stale się rozwija. Chrzanów cieszy się rosnącym zainteresowaniem osób poszukujących mieszkania również dzięki rozbudowie II linii metra. Już w 2026 r. w pobliżu Viva Cité planowane jest otwarcie dwóch nowych s... więcej > LOKALIZACJA Viva Cité powstaje przy ul. Podgrodzie, w pobliżu ul. Sochaczewskiej, w dynamicznie rozwijającej się części Bemowa. Bemowo to dzielnica z rozbudowaną infrastrukturą miejską. Sklepy, restauracje, punkty usługowe oraz placówki edukacyjne są tu łatwo dostępne, a lokalna oferta stale się rozwija. Chrzanów cieszy się rosnącym zainteresowaniem osób poszukujących mieszkania również dzięki rozbudowie II linii metra. Już w 2026 r. w pobliżu Viva Cité planowane jest otwarcie dwóch nowych stacji – Chrzanów i Karolin, zapewniające szybkie połączenia z centrum i pozostałymi dzielnicami. Dodatkowo bliskość trasy S8 ułatwi weekendowe wyjazdy za miasto. W bezpośrednim sąsiedztwie inwestycji powstała także nowa szkoła podstawowa, której otwarcie planowane jest na wrzesień 2025 roku. Lokalizacja osiedla zapewnia doskonałe warunki do aktywnego wypoczynku i relaksu na świeżym powietrzu. W pobliżu znajdują się liczne tereny zielone, takie jak Fort Chrzanów, Glinianki Sznajdra oraz Park Górczewska idealne na spacery, jogging, wycieczki rowerowe czy rodzinne pikniki. Planowany jest też nowy park miejski, który dodatkowo wzbogaci ofertę rekreacyjną tej części Bemowa OFERTA W pierwszym etapie inwestycji powstaną dwa 4-kondygnacyjne budynki ze 114 mieszkaniami o powierzchni od 25 do 135 mkw., a w drugim – dwa kolejne budynki, obejmujące 93 lokale o metrażach od 25 do 117 mkw., w układach od 1 do 5 pokoi. Każde posiadać będzie przestronny ogródek, balkon lub taras. W ofercie dostępne będą również mieszkania dwupoziomowe oraz z antresolą. Wszystkie lokale zostaną wyposażone w system automatyki mieszkaniowej Appartme, który umożliwia m.in. zdalne sterowanie temperaturą, automatyczne wyłączanie oświetlenia po opuszczeniu mieszkania oraz odcięcie dopływu wody i prądu dla zwiększenia bezpieczeństwa. Części wspólne inwestycji Viva Cité zostaną zaprojektowane z dbałością o każdy detal, by stworzyć elegancką i przyjazną przestrzeń. Jasne, przestronne korytarze podkreślą nowoczesny charakter inwestycji, a starannie dobrane elementy wykończenia nadadzą jej wyjątkowego klimatu. Pojawią się tu stylowe portale drzwiowe, duże lustra w holach, klimatyczne lampy oraz dzwonki w stylu retro. Ponadto osiedle wyróżniać się będzie obszerną, zieloną przestrzenią wspólną, zaprojektowaną wokół dwóch dużych dziedzińców – jeden z ogrodem deszczowym, drugi z częścią rekreacyjną obejmującą dwa place zabaw. ATUTY - Kameralna zabudowa z eleganckimi częściami wspólnymi i zielonymi dziedzińcami - Szeroki wybór mieszkań z balkonami, tarasami lub ogródkami - Mieszkania dwupoziomowe lub z antresolą - System smart home w standardzie - Dynamicznie rozwijająca się okolica - 15 minut spacerem do realizowanej stacji metra Chrzanów - Sąsiedztwo nowej szkoły podstawowej - Bliskość terenów rekreacyjnych Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny. Szczegóły inwestycji oraz pełna oferta dostępne są na stronie internetowej: www. develia.pl",,,,,,Wyposażenie: internet,52.219115,20.876002
